Day,Sales,Trading Profit,Operating Expense,Net Profit
30,11144499,5311973,2134141,3177832
31,11301229,5436042,2193060,3242982
32,11376038,5498467,2253172,3245295
33,13062321,6217968,2325687,3892281
34,13133179,6246135,2386929,3859206
35,13311887,6308807,2493228,3815579
36,13617884,6554963,2569810,3985153
37,15094654,7209659,2632409,4577250
38,15413437,7431144,2694763,4736381
39,15730406,7614734,2757117,4857617
40,15833581,7680499,2865159,4815340
41,15913567,7720250,2947375,4772875
42,16951895,8088305,3015899,5072406
43,17101873,8151822,3147367,5004455
44,17516373,8310171,3216906,5093265
45,17743756,8458411,3329505,5128906
46,17844414,8522475,3413695,5108780
47,17942233,8584249,3487079,5097170
48,18005160,8623770,3562729,5061041
49,18067740,8662810,3638379,5024431
50,18279881,7665553,3790057,3875496
51,18349841,7674360,3881725,3792635
52,18441874,7689258,3993834,3695424
53,19437593,8198259,4104815,4093444
54,19504706,8244033,4183959,4060074
55,19999218,8473479,4310108,4163371
56,20219135,8623466,4406220,4217246
57,20995571,8931754,4487312,4444442
58,21225622,9092621,4570317,4522304
59,21858637,9397415,4655322,4742093
60,21922238,9444800,4797962,4646838
